english_small.txt,250727,1,17479,TIMEOUT
english_large.txt,250727,1,16088,TIMEOUT
french.txt,250727,1,20282,TIMEOUT
english_small.txt,402221,1,25237,TIMEOUT
english_large.txt,402221,1,25249,TIMEOUT
french.txt,402221,1,25557,TIMEOUT
english_small.txt,1000081,1,25397,TIMEOUT
english_large.txt,1000081,1,20800,TIMEOUT
french.txt,1000081,1,25769,TIMEOUT
english_small.txt,250727,27183,84097,0.518621234
english_large.txt,250727,27183,194433,1.395661817
french.txt,250727,27183,202358,1.619261328
english_small.txt,402221,27183,84097,0.524962806
english_large.txt,402221,27183,194433,1.226437775
french.txt,402221,27183,202358,1.453027203
english_small.txt,1000081,27183,84097,0.522242339
english_large.txt,1000081,27183,194433,1.18553107
french.txt,1000081,27183,202358,1.351597776
english_small.txt,250727,250726,24936,TIMEOUT
english_large.txt,250727,250726,24791,TIMEOUT
french.txt,250727,250726,25743,TIMEOUT
english_small.txt,402221,250726,84097,1.319361223
english_large.txt,402221,250726,194433,2.964780025
french.txt,402221,250726,202358,3.225130411
english_small.txt,1000081,250726,84097,0.807537909
english_large.txt,1000081,250726,194433,1.669905781
french.txt,1000081,250726,202358,1.680211645
