english_small.txt,250727,1,84097,17.57326198,83697,16551049,398,0
english_large.txt,250727,1,177931,TIMEOUT,177557,55419176,994,0
french.txt,250727,1,186066,TIMEOUT,185459,53932461,706,0
english_small.txt,402221,1,84097,35.24211965,83697,16551049,398,0
english_large.txt,402221,1,194433,81.1013492,194054,62188585,864,0
french.txt,402221,1,202358,53.37391293,201745,60792024,597,0
english_small.txt,1000081,1,84097,15.10958201,83697,16551049,398,0
english_large.txt,1000081,1,194433,62.9856561,194054,61784770,751,0
french.txt,1000081,1,202358,53.53957801,201745,60792024,597,0
english_small.txt,250727,27183,84097,0.513655665,14264,20559,9,0
english_large.txt,250727,27183,194433,1.33246454,76435,216611,32,0
french.txt,250727,27183,202358,1.589432199,85184,260589,49,0
english_small.txt,402221,27183,84097,0.491545035,8988,11242,6,0
english_large.txt,402221,27183,194433,1.272397702,47850,82230,13,0
french.txt,402221,27183,202358,1.409376844,53499,96373,16,0
english_small.txt,1000081,27183,84097,0.497927418,3494,3887,5,0
english_large.txt,1000081,27183,194433,1.203317986,19061,23618,6,0
french.txt,1000081,27183,202358,1.376275827,22106,28727,7,0
english_small.txt,250727,250726,84097,45.21271394,83963,28517896,999,0
english_large.txt,250727,250726,113586,TIMEOUT,113473,52287728,1491,0
french.txt,250727,250726,194629,TIMEOUT,193907,92139002,2223,0
english_small.txt,402221,250726,84097,1.374458319,8983,11253,7,0
english_large.txt,402221,250726,194433,2.953486333,47851,82828,15,0
french.txt,402221,250726,202358,3.681883995,53460,96217,14,0
english_small.txt,1000081,250726,84097,1.373789101,3604,3997,5,0
english_large.txt,1000081,250726,194433,3.185951709,19052,23720,8,0
french.txt,1000081,250726,202358,3.656029362,21780,28094,7,0
